governance_rule_id,rule_name,rule_description,rule_scope,enforcement,violation_action,applies_to_assumption_type,version
RULE-BASELINE-IMMUTABLE,Baseline Immutability,Observed baseline values must never be overwritten by user assumptions or scenario calculations.,All scenarios,Hard,Reject scenario run and flag for audit,Observed Baseline,v1.0
RULE-DERIVED-FROM-BASELINE,Derived Parameter Integrity,Derived parameters must be recomputed from immutable baselines; must not use scenario-adjusted values.,All scenarios,Hard,Reject scenario run and flag for audit,Derived Parameter,v1.0
RULE-RANGE-STAFF-COUNT,Staff Count Range Governance,User-entered staff counts must be non-negative and within analytical range. Soft warning at 20.,Staffing scenarios,Hard with soft warning,Reject if >50 or <0; warn if >20,User-Entered Intervention,v1.0
RULE-RANGE-PERCENT-REDUCTION,Percent Reduction Range Governance,Reduction percentages must be 0-50. Soft warning at 30. Absenteeism cannot go below 0%.,Absenteeism scenarios,Hard with soft warning,Clamp to 0-50; warn if >30,User-Entered Intervention,v1.0
RULE-RANGE-DURATION,Duration Range Governance,Intervention duration must be 1-90 days. Soft warning at 30.,All intervention scenarios,Hard with soft warning,Reject if >90 or <1; warn if >30,User-Entered Intervention,v1.0
RULE-FIXED-REFERENCE,Fixed Reference Integrity,"Fixed governance references (e.g., assumption_set_id) must point to active, valid assumption sets.",Combined scenarios,Hard,Reject scenario run,Fixed Governance Parameter,v1.0
RULE-FIXED-BOOLEAN,Fixed Boolean Integrity,Fixed boolean governance parameters must not be user-editable.,Combined scenarios,Hard,Reject user change; flag for governance review,Fixed Governance Parameter,v1.0
RULE-FIXED-RANGE,Fixed Range Integrity,Fixed governance values within defined ranges must not be user-editable.,Combined scenarios,Hard,Reject user change; flag for governance review,Fixed Governance Parameter,v1.0
RULE-FIXED-MULTIPLIER,Fixed Multiplier Integrity,Confidence multipliers are governance-fixed; user changes require explicit governance approval.,All scenarios,Hard,Reject user change; flag for governance review,Fixed Governance Parameter,v1.0
RULE-FIXED-PENALTY,Fixed Penalty Integrity,Confidence penalties are governance-fixed; user changes require explicit governance approval.,All scenarios,Hard,Reject user change; flag for governance review,Fixed Governance Parameter,v1.0
RULE-NO-HIGH-CONFIDENCE,No High Scenario Confidence,No scenario may be assigned High confidence in Phase 2C-2. Maximum allowed is Moderate.,All scenarios,Hard,Cap confidence at Moderate; flag for review,All,v1.0
RULE-NO-AUTO-APPROVAL,No Automatic Approval,Scenario outputs may inform decisions but must never trigger automatic management approval.,All scenarios,Hard,Block any auto-approval mechanism; flag for governance review,All,v1.0
RULE-NO-FINANCIAL-2C2,No Financial Calculation in 2C-2,"Cost, revenue, or budget impact fields must not appear in Step 2C-2 outputs.",All scenarios,Hard,Reject output generation if financial fields present,All,v1.0
RULE-PROV-PRESERVE-WARNING,Provisional Warning Preservation,Any scenario involving kpi_003 or kpi_005 must carry provisional_kpi_warning = True.,All scenarios,Hard,Add warning flag automatically; cannot be suppressed,All,v1.0
RULE-REPRODUCIBLE,Reproducibility Requirement,"Every scenario run must generate a unique scenario_run_id and persist inputs, assumptions, and timestamp.",All scenarios,Hard,Reject scenario run if reproducibility metadata incomplete,All,v1.0
